title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin,complete_duration
DEATH NOTE,Death Note,TV,37.0,23.0,MANGA,FALL,Mystery;Psychological;Supernatural;Thriller,Crime;Detective;Anti-Hero;Male Protagonist;Police;Fugitive;Philosophy;Primarily Adult Cast;Kuudere;Gods,84.0,2006-10-04,JP,851.0
Death Parade,Death Parade,TV,12.0,23.0,ORIGINAL,WINTER,Drama;Mystery;Psychological;Supernatural;Thriller,Death Game;Philosophy;Amnesia;Memory Manipulation;Bar;Episodic;Primarily Adult Cast;Suicide;Gambling;Male Protagonist,80.0,2015-01-10,JP,276.0
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,TV,25.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Sci-Fi;Thriller,Anti-Hero;War;Military;Class Struggle;Politics;Super Power;Revenge;Terrorism;Male Protagonist;Real Robot,85.0,2006-10-06,JP,600.0
Guilty Crown,Guilty Crown,TV,22.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Psychological;Romance;Sci-Fi,Super Power;Terrorism;Dystopian;Pandemic;Post-Apocalyptic;Anti-Hero;Real Robot;Female Protagonist;Urban;Politics,69.0,2011-10-14,JP,528.0
Noragami,Noragami,TV,12.0,24.0,MANGA,WINTER,Action;Adventure;Comedy;Supernatural,Gods;Youkai;Urban Fantasy;Female Protagonist;Shounen;Mythology;Urban;Anti-Hero;Shapeshifting;Swordplay,77.0,2014-01-05,JP,288.0
Another,Another,TV,12.0,24.0,LIGHT_NOVEL,WINTER,Horror;Mystery;Psychological;Supernatural;Thriller,School;Gore;Memory Manipulation;Primarily Teen Cast;Urban Fantasy;Survival;Rural;Curses;Kuudere;Male Protagonist,70.0,2012-01-10,JP,288.0
No Game No Life,"No Game, No Life",TV,12.0,24.0,LIGHT_NOVEL,SPRING,Adventure;Comedy;Ecchi;Fantasy,Isekai;Gambling;Video Games;Hikikomori;Magic;Primarily Female Cast;Male Protagonist;Female Protagonist;Parody;Politics,77.0,2014-04-09,JP,288.0
CLAYMORE,Claymore,TV,26.0,23.0,MANGA,SPRING,Action;Adventure;Fantasy;Horror,Swordplay;Female Protagonist;Revenge;Primarily Female Cast;Gore;Demons;Kuudere;Primarily Adult Cast;Super Power;Tomboy,74.0,2007-04-04,JP,598.0
Black Clover,Black Clover,TV,170.0,24.0,MANGA,FALL,Action;Adventure;Comedy;Fantasy,Magic;Shounen;Found Family;Male Protagonist;Super Power;Ensemble Cast;Orphan;Revenge;Class Struggle;Demons,79.0,2017-10-03,JP,4080.0
Metal Fight Beyblade,Beyblade: Metal Fusion,TV,51.0,25.0,MANGA,SPRING,Adventure;Comedy;Sports,Male Protagonist;Kids;Proxy Battle;Battle Royale;CGI,68.0,2009-04-05,JP,1275.0
Bakugan Battle Brawlers,Bakugan Battle Brawlers,TV,52.0,24.0,ORIGINAL,SPRING,Action;Fantasy,Card Battle;Kaiju;Kids;Dragons;Primarily Child Cast;Proxy Battle;Dissociative Identities;Isekai;CGI,62.0,2007-04-05,JP,1248.0
K,K,TV,13.0,24.0,ORIGINAL,FALL,Action;Mystery;Supernatural,Gangs;Memory Manipulation;Super Power;Amnesia;Urban Fantasy;Shapeshifting;Urban;Revenge;Bar;Swordplay,71.0,2012-10-05,JP,312.0
Nanatsu no Taizai,The Seven Deadly Sins,TV,24.0,25.0,MANGA,FALL,Action;Adventure;Comedy;Ecchi;Fantasy;Supernatural,Ensemble Cast;Shounen;Magic;Demons;Male Protagonist;Heterosexual;Spearplay;Super Power;Swordplay;Anti-Hero,73.0,2014-10-05,JP,600.0
BTOOOM!,BTOOOM!,TV,12.0,24.0,MANGA,FALL,Action;Psychological;Sci-Fi,Battle Royale;Survival;Death Game;Video Games;Hikikomori;Gore;Seinen;Male Protagonist;Rape;Suicide,68.0,2012-10-04,JP,288.0
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,TV,13.0,25.0,LIGHT_NOVEL,FALL,Comedy;Drama;Mystery;Psychological;Romance;Supernatural,Urban Fantasy;Primarily Teen Cast;Male Protagonist;Heterosexual;Coming of Age;Primarily Female Cast;Memory Manipulation;Rehabilitation;Dissociative Identities;School,81.0,2018-10-04,JP,325.0
Shin Seiki Evangelion,Neon Genesis Evangelion,TV,26.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Mystery;Psychological;Sci-Fi,Philosophy;Coming of Age;Super Robot;Denpa;Dystopian;Post-Apocalyptic;Angels;Psychosexual;Cosmic Horror;Kaiju,83.0,1995-10-03,JP,624.0
Shigatsu wa Kimi no Uso,Your lie in April,TV,22.0,23.0,MANGA,FALL,Drama;Music;Romance;Slice of Life,Classical Music;Primarily Teen Cast;Disability;Coming of Age;Rehabilitation;Male Protagonist;Shounen;Love Triangle;Female Protagonist;Heterosexual,84.0,2014-10-10,JP,506.0
Kimi no Na wa.,Your Name.,MOVIE,1.0,107.0,ORIGINAL,SUMMER,Drama;Romance;Supernatural,Urban Fantasy;Coming of Age;Memory Manipulation;Urban;Rural;Gender Bending;Heterosexual;Primarily Teen Cast;Environmental;Mythology,85.0,2016-08-26,JP,107.0
Hyouka,Hyouka,TV,22.0,26.0,LIGHT_NOVEL,SPRING,Mystery;Romance;Slice of Life,School Club;Detective;School;Male Protagonist;Primarily Teen Cast;Bowling;Coming of Age;Classic Literature;Episodic;Heterosexual,79.0,2012-04-23,JP,572.0
Plastic Memories,Plastic Memories,TV,13.0,24.0,ORIGINAL,SPRING,Drama;Romance;Sci-Fi;Slice of Life,Robots;Artificial Intelligence;Male Protagonist;Female Protagonist;Memory Manipulation;Kuudere;Urban;Work;Amnesia;Heterosexual,77.0,2015-04-05,JP,312.0
Angel Beats!,Angel Beats!,TV,13.0,24.0,ORIGINAL,SPRING,Action;Comedy;Drama;Supernatural,School;Amnesia;Primarily Teen Cast;Kuudere;Coming of Age;Memory Manipulation;Isekai;Boarding School;Male Protagonist;Ensemble Cast,77.0,2010-04-03,JP,312.0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,TV,11.0,22.0,ORIGINAL,SPRING,Drama;Romance;Slice of Life;Supernatural,Coming of Age;Ghost;Rehabilitation;Hikikomori;Love Triangle;Male Protagonist;Found Family;Rural;Primarily Teen Cast;Heterosexual,80.0,2011-04-15,JP,242.0
Seikaisuru Kado,KADO: The Right Answer,TV,13.0,24.0,ORIGINAL,SPRING,Sci-Fi;Supernatural;Thriller,Aliens;Politics;Philosophy;Full CGI;Urban;CGI;Primarily Adult Cast;Male Protagonist;Economics;Tsundere,64.0,2017-04-06,JP,312.0
